## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4318200B  20   7   u    0       0         19              0      HB     8    11      1
 4318100B  20   7   u    0       0         19              1      HB     4    11      1
 4318300B  20   7   u    0       0         19              2      HB    12    11      1
 4318280C  20   7   u    0       0         20              0      HB    10    12      1
 4318180C  20   7   u    0       0         20              1      HB     6    12      1
 4318080C  20   7   u    0       0         20              2      HB     2    12      1
 4318200C  20   7   u    0       0         21              0      HB     8    12      1
 4318100C  20   7   u    0       0         21              1      HB     4    12      1
 4318300C  20   7   u    0       0         21              2      HB    12    12      1
 43182C0D  20   7   u    0       0          2              0      HB    11    13      1
 43181C0D  20   7   u    0       0          2              1      HB     7    13      1
 43180C0D  20   7   u    0       0          2              2      HB     3    13      1
 4318140D  20   7   u    0       0          3              0      HB     5    13      1
 4318040D  20   7   u    0       0          3              1      HB     1    13      1
 4318240D  20   7   u    0       0          3              2      HB     9    13      1
 43182C0E  20   7   u    0       0          4              0      HB    11    14      1
 43181C0E  20   7   u    0       0          4              1      HB     7    14      1
 43180C0E  20   7   u    0       0          4              2      HB     3    14      1
 4318140E  20   7   u    0       0          5              0      HB     5    14      1
 4318040E  20   7   u    0       0          5              1      HB     1    14      1
 4318240E  20   7   u    0       0          5              2      HB     9    14      1
 4318280D  20   7   u    0       0          6              0      HB    10    13      1
 4318180D  20   7   u    0       0          6              1      HB     6    13      1
 4318080D  20   7   u    0       0          6              2      HB     2    13      1
 4318200D  20   7   u    0       0          7              0      HB     8    13      1
 4318100D  20   7   u    0       0          7              1      HB     4    13      1
 4318300D  20   7   u    0       0          7              2      HB    12    13      1
 4318280E  20   7   u    0       0          8              0      HB    10    14      1
 4318180E  20   7   u    0       0          8              1      HB     6    14      1
 4318080E  20   7   u    0       0          8              2      HB     2    14      1
 4318200E  20   7   u    0       0          9              0      HB     8    14      1
 4318100E  20   7   u    0       0          9              1      HB     4    14      1
 4318300E  20   7   u    0       0          9              2      HB    12    14      1
 4328400B  20   8   u    0       0         14              0      HB    16    11      2
 43283C0B  20   8   u    0       0         14              1      HB    15    11      2
 4318380B  20   8   u    0       0         14              2      HB    14    11      1
 43183C0B  20   8   u    0       0         15              0      HB    15    11      1
 4318340B  20   8   u    0       0         15              1      HB    13    11      1
 4318400B  20   8   u    0       0         15              2      HB    16    11      1
 4328400C  20   8   u    0       0         16              0      HB    16    12      2
 43283C0C  20   8   u    0       0         16              1      HB    15    12      2
 4318380C  20   8   u    0       0         16              2      HB    14    12      1
 43183C0C  20   8   u    0       0         17              0      HB    15    12      1
 4318340C  20   8   u    0       0         17              1      HB    13    12      1
 4318400C  20   8   u    0       0         17              2      HB    16    12      1
 4518440B  20   8   u    0       0         18              0      HE    17    11      1
 4538400B  20   8   u    0       0         18              1      HE    16    11      3
 4518680B  20   8   u    0       0         18              2      HE    26    11      1
 4518480B  20   8   u    0       0         19              0      HE    18    11      1
 4528480B  20   8   u    0       0         19              1      HE    18    11      2
 4528680B  20   8   u    0       0         19              2      HE    26    11      2
 4518440C  20   8   u    0       0         20              0      HE    17    12      1
 4538400C  20   8   u    0       0         20              1      HE    16    12      3
 4518640B  20   8   u    0       0         20              2      HE    25    11      1
 4518480C  20   8   u    0       0         21              0      HE    18    12      1
 4528480C  20   8   u    0       0         21              1      HE    18    12      2
 4528640B  20   8   u    0       0         21              2      HE    25    11      2
 4328400D  20   8   u    0       0          2              0      HB    16    13      2
 43283C0D  20   8   u    0       0          2              1      HB    15    13      2
 4318380D  20   8   u    0       0          2              2      HB    14    13      1
 43183C0D  20   8   u    0       0          3              0      HB    15    13      1
 4318340D  20   8   u    0       0          3              1      HB    13    13      1
 4318400D  20   8   u    0       0          3              2      HB    16    13      1
 4328400E  20   8   u    0       0          4              0      HB    16    14      2
 43283C0E  20   8   u    0       0          4              1      HB    15    14      2
 4318380E  20   8   u    0       0          4              2      HB    14    14      1
 43183C0E  20   8   u    0       0          5              0      HB    15    14      1
 4318340E  20   8   u    0       0          5              1      HB    13    14      1
 4318400E  20   8   u    0       0          5              2      HB    16    14      1
 4518440D  20   8   u    0       0          6              0      HE    17    13      1
 4538400D  20   8   u    0       0          6              1      HE    16    13      3
 4518640D  20   8   u    0       0          6              2      HE    25    13      1
 4518480D  20   8   u    0       0          7              0      HE    18    13      1
 4528480D  20   8   u    0       0          7              1      HE    18    13      2
 4528640D  20   8   u    0       0          7              2      HE    25    13      2
 4518440E  20   8   u    0       0          8              0      HE    17    14      1
 4538400E  20   8   u    0       0          8              1      HE    16    14      3
 4518680D  20   8   u    0       0          8              2      HE    26    13      1
 4518480E  20   8   u    0       0          9              0      HE    18    14      1
 4528480E  20   8   u    0       0          9              1      HE    18    14      2
 4528680D  20   8   u    0       0          9              2      HE    26    13      2
 4518700B  20   9   u    0       0         14              0      HE    28    11      1
 4528700B  20   9   u    0       0         14              1      HE    28    11      2
 4518740B  20   9   u    0       0         14              2      HE    29    11      1
 4538700B  20   9   u    0       0         15              0      HE    28    11      3
 4528600B  20   9   u    0       0         15              1      HE    24    11      2
 4518600B  20   9   u    0       0         15              2      HE    24    11      1
 45186C0B  20   9   u    0       0         16              0      HE    27    11      1
